"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zebir (2)","P","PPL","   9.8166","   9.1833","Plateau","JosNorth"
"Zebir (1)","P","PPL","   9.8166","   9.1500","Plateau","JosNorth"
"Zebir","P","PPL","   9.8166","   9.1833","Plateau","JosNorth"
"Zebir","P","PPL","   9.8166","   9.1500","Plateau","JosNorth"
"Zazzagawa","P","PPL","  12.7166","   4.3666","Kebbi","Argungu"
"Zazka","P","PPL","  11.4666","   9.5500","Jigawa","BirninKu"
"Zazka","P","PPL","  11.3000","   9.5500","Jigawa","BirninKu"
"Zazawa","P","PPL","  11.9000","  12.3833","Borno","Kaga"
"Zazagawa Hill","T","HLL","  12.7166","   4.3666","Kebbi","Argungu"
"Zazagawa","P","PPL","  12.7166","   4.3666","Kebbi","Argungu"
"Zazaga","P","PPL","   9.9000","   7.0833","Niger","Shiroro"
"Zazaga","P","PPL","   9.8666","   7.1166","Niger","Shiroro"
"Zazabo","P","PPL","  12.7666","   9.3666","Jigawa","Sule-Tan"
"Zaye Ngusa","P","PPL","  11.3333","  13.9833","Borno","Bama"
"Zawan","P","PPL","   9.7500","   8.8666","Plateau","JosNorth"
"Zawaciki","P","PPL","  11.9172","   8.4625","Kano","Kumbotso"
"Zawa","P","PPL","   8.6666","   6.8000","FCT","Abaji"
"Zavatiniyan","P","PPL","  10.1500","  12.7666","Adamwara","Gombi"
"Zava","P","PPL","   8.9000","  11.2833","Taraba","Jalingo"
"Zauru","P","PPL","   6.8833","   9.8666","Taraba","Takum"
"Zauro","P","PPL","  12.5000","   4.3000","Kebbi","BirninKe"
"Zaure Uku","P","PPL","   8.4833","  11.4000","Taraba","Bali"
"Zaure Uke","P","PPL","   8.4833","  11.4000","Taraba","Bali"
"Zauren Biri Hills","T","HLLS","  12.4166","   4.1333","Kebbi","BirninKe"
"Zaure","P","PPL","  10.6166","   7.5166","Kaduna","Igabi"
"Zauna Native Area Forest Reserve","L","RESF","  13.6500","   5.2000","Sokoto","Tangazar"
"Zauna","P","PPL","  13.5833","   5.2000","Sokoto","Tangazar"
"Zauku","P","PPL","   7.5333","   8.0666","Benue","Oturkpo"
"Zauka","P","PPL","   7.3833","   8.1666","Benue","Gwer"
"Zau","P","PPL","  11.2666","   4.7500","Kebbi","Yauri"
"Zatsha","P","PPL","   7.6666","   8.8500","Benue","Gboko"
"Zato","P","PPL","  10.6666","   7.2166","Kaduna","Igabi"
"Zashir","P","PPL","   7.1000","   8.6500","Benue","Konshish"
"Zarya","P","PPL","  10.3833","   8.8333","Bauchi","Toro"
"Zarumai","P","PPL","  10.5833","   6.8000","Niger","Shiroro"
"Zaruma","P","PPL","  10.5833","   6.8000","Niger","Shiroro"
"Lake Zaru","H","LK","  12.1666","   4.9500","Sokoto","Gummi"
"Zaru","P","PPL","  11.3666","  10.6833","Bauchi","Darazo"
"Zarra","P","PPL","  12.1833","   4.3166","Kebbi","Maiyama"
"Zarmi","P","PPL","   9.0000","   6.4666","Niger","Agaie"
"Zarkama","P","PPL","   7.9166","   7.2333","Kogi","Bassa"
"Zariyawa","P","PPL","  11.1333","   8.4833","Kaduna","Ikara"
"Zari Maku","T","HLL","   9.9166","   9.3000","Bauchi","Toro"
"Zari Kasake","P","PPL","  12.9833","  12.7166","Borno","Mobbar"
"Zaria Native Areas","L","RESF","  11.1333","   7.7166","Kaduna","Sabon-Ga"
"Zaria Native Area Number 21","L","RESF","   9.7000","   8.4333","Kaduna","ZangonKa"
"Zaria Native Area Number 14","L","RESF","   9.7500","   8.5000","Kaduna","Kauru"
"Zaria Native Area Number 13","L","RESF","   9.8000","   7.3333","Kaduna","Kachia"
"Zaria Native Area Number 11","L","RESF","   9.8666","   8.5500","Kaduna","Kauru"
"Zaria Native Area Number 10","L","RESF","   9.8833","   8.5333","Kaduna","Kauru"
"Zaria Native Area Number 7","L","RESF","  10.6000","   7.8333","Kaduna","Igabi"
"Zaria Native Area Number 6","L","RESF","  10.7000","   7.6166","Kaduna","Igabi"
"Zaria Native Area Number 4","L","RESF","  11.0666","   7.7000","Kaduna","Sabon-Ga"
"Zaria Native Area Number 3","L","RESF","  10.4333","   8.6000","Kaduna","Lere"
"Zaria Native Area Number 1","L","RESF","  10.5333","   8.5500","Kaduna","Lere"
"Zaria Forest Reserve","L","RESF","  11.0666","   7.7000","Kaduna","Sabon-Ga"
"Zaria","P","PPL","  11.2500","   4.2666","Kebbi","Bagudo"
"Zaria","P","PPL","  11.0666","   7.7000","Kaduna","Sabon-Ga"
"Zaria","P","PPL","   9.0166","   8.2166","Plateau","Akwanga"
"Zari","P","PPL","  13.0833","  12.7333","Borno","Mobbar"
"Zari","P","PPL","  10.5500","  12.2833","Borno","Biu"
"Zari","P","PPL","   9.7666","   6.7833","Niger","Shiroro"
"Zargina","P","PPL","  10.8666","   7.6500","Kaduna","Igabi"
"Zarewa","P","PPL","  11.4000","   7.8166","Kano","Karaye"
"Zareku","P","PPL","  12.1833","   9.7833","Jigawa","Jahun"
"Zaranuma","P","PPL","  12.1500","   4.3333","Kebbi","Maiyama"
"Zaran Mai Chibi","P","PPL","  10.9500","  10.3500","Bauchi","Darazo"
"Zaran Fulani","P","PPL","  10.9500","  10.3666","Bauchi","Darazo"
"Zaranda Hill","T","HLL","  10.2833","   9.6000","Bauchi","Toro"
"Zaranda Hill","T","HLL","   9.9500","   9.5333","Bauchi","Dass"
"Zaranda Habe","P","PPL","  10.2833","   9.5666","Bauchi","Toro"
"River Zaranda","H","STM","  10.4666","   9.6500","Bauchi","Bauchi"
"Zaranda","P","PPL","  10.7833","  12.0166","Borno","Biu"
"Zaranda","P","PPL","  10.4500","  12.9666","Adamwara","Hong"
"Zaranda","P","PPL","  10.2333","   9.5166","Bauchi","Toro"
"Zaramiri","P","PPL","  11.4666","  13.7500","Borno","Bama"
"Zarameri","P","PPL","  11.2500","  13.0666","Borno","Damboa"
"Zaramari","P","PPL","  10.8833","  11.6666","Yobe","Gujba"
"Zarama","P","PPL","   5.0833","   6.4000","Rivers","Northern"
"Zaraki","P","PPL","   8.9000","   5.8833","Niger","Lavun"
"Zaraina","P","PPL","  11.4000","   9.5333","Jigawa","BirninKu"
"Zaragi","P","PPL","   9.6500","   6.0166","Niger","Wushishi"
"Zara Birnin","P","PPL","  12.1333","   4.3333","Kebbi","Maiyama"
"River Zara","H","STM","  10.5166","   6.4333","Niger","Rafi"
"Zara","P","PPL","  10.9166","  10.0000","Bauchi","Gamjuwa"
"Zara","P","PPL","  10.6666","  11.7833","Borno","Biu"
"Zara","P","PPL","  10.5166","   6.4333","Niger","Rafi"
"Zar","P","PPL","  10.5666","  12.1166","Borno","Biu"
"River Zape Susu","H","STM","   7.1166","  10.4333","Taraba","Sardauna"
"Zanzi","P","PPL","   8.9500","  11.3833","Taraba","Yorro"
